7.924,34770.074,19.945,59524.992,18.352,87758.039,23.289,115893.258,
7.924,37899.715,14.428,63315.613,25.915,101967.797,21.078,117012.469,
7.924,35188.176,14.428,59407.812,21.870,92100.555,23.640,117824.727,
7.924,35188.176,23.573,70742.273,16.510,78930.008,23.640,117824.727,
7.924,37899.715,14.428,63315.613,25.915,101967.797,21.078,117012.469,
9.935,38951.871,14.428,62264.266,25.303,99523.203,20.884,116519.703,
9.935,34888.816,18.736,55806.672,21.869,90170.406,20.884,109893.641,
7.924,35730.344,24.095,72784.680,19.809,82448.836,21.429,114816.688,
8.421,38053.988,14.428,63315.613,25.915,101967.797,20.884,117700.812,
9.935,36378.793,14.428,58529.039,21.870,91281.969,23.128,116190.430,
3.852,32647.391,12.660,54280.020,22.482,94539.523,24.248,119964.750,
9.935,39050.906,14.428,62408.031,25.386,100677.742,21.078,116007.953,
10.432,37743.332,24.095,72784.680,20.196,84389.422,20.884,114188.516,
6.399,33567.383,13.869,55088.828,21.869,93073.633,23.640,117824.727,
7.924,35730.344,24.095,72784.680,20.436,83925.469,21.078,113552.133,
7.924,34770.078,13.869,54585.688,21.869,92498.508,23.289,115893.258,
10.432,36605.957,14.428,58529.035,21.869,92234.859,23.128,116190.430,
9.449,38790.996,14.428,62264.266,25.303,99523.203,21.078,115848.836,
9.935,38951.871,14.428,62264.266,25.303,99523.203,20.884,116519.703,
7.924,37899.719,14.428,63315.613,25.915,101967.797,21.078,117012.469,
7.924,37899.719,14.428,63315.613,25.915,101967.797,21.078,117012.469,
9.935,38951.871,14.428,62264.266,25.303,99523.203,20.884,116519.703,
8.421,35362.031,14.428,59407.812,21.869,93073.633,23.640,117824.727,
9.935,36569.070,14.428,58805.254,21.869,92498.508,23.289,115893.258,
8.421,35362.031,14.428,59407.812,21.869,93073.633,23.640,117824.727,
6.399,33567.383,14.428,59407.812,22.482,93565.797,23.640,117824.727,
7.924,37899.719,12.660,56670.207,25.915,101967.797,20.884,117700.812,
7.924,35188.176,14.428,59407.812,21.870,92100.555,23.640,117824.727,
9.935,36378.793,14.428,58529.039,21.870,91281.969,23.128,116190.430,
9.449,36729.219,23.573,70650.711,19.809,81593.352,20.884,113181.617,
