23.289,297946.344
25.915,320195.594
23.640,304521.250
23.640,302685.188
25.915,320195.594
25.303,317259.062
21.869,290759.531
24.095,305780.562
25.915,321038.219
23.128,302380.219
24.248,301431.688
25.386,318144.625
24.095,309105.938
23.640,299554.562
24.095,305992.625
23.289,297747.531
23.128,303560.281
25.303,316427.312
25.303,317259.062
25.915,320195.594
25.915,320195.594
25.303,317259.062
23.640,305668.188
23.289,303766.094
23.640,305668.188
23.640,304365.719
25.915,314238.531
23.640,304521.250
23.128,302380.219
23.573,302154.906
