24150.693,5744.146,10161.028,0.000,
28277.693,19731.973,0.000,12004.736,
24702.037,15824.173,3642.307,0.000,
24702.037,114.931,14674.171,0.000,
28277.693,19731.973,0.000,12004.736,
24154.760,18680.623,0.000,10967.133,
18757.916,5381.746,0.000,2444.854,
25416.980,0.000,8819.975,6616.681,
27496.842,19731.973,0.000,12486.232,
20737.012,14945.400,2589.464,0.000,
32058.291,19906.746,3635.061,0.000,
24286.305,18824.389,0.000,10693.361,
21475.186,0.000,8023.271,7968.817,
27099.443,16784.699,3644.219,0.000,
25416.982,0.000,7529.319,7487.321,
24150.693,16182.141,2922.303,0.000,
19956.154,14945.394,2591.368,0.000,
24918.295,18680.623,0.000,10485.636,
24154.758,18680.623,0.000,10967.133,
28277.693,19731.973,0.000,12004.736,
28277.693,19731.973,0.000,12004.731,
24154.760,18680.623,0.000,10967.133,
23921.186,15824.173,3644.219,0.000,
20989.748,15221.614,2922.303,0.000,
23921.186,15824.173,3644.219,0.000,
27099.443,15824.173,2382.706,0.000,
28277.693,22769.244,0.000,12486.232,
24702.037,15824.173,3642.307,0.000,
20737.012,14945.400,2589.464,0.000,
22199.467,0.000,7746.146,6673.766,
